dataset,views,classes,dims,n_train,n_val,n_test,oof_reliability,train_loss,test_loss,test_acc,last_model_path,best_epoch,best_val_acc,best_test_loss,best_test_acc,best_model_path,elapsed_sec,model,status,error,uncertainty_auroc
NUS-WIDE,5.0,12.0,"[64, 144, 73, 128, 225]",1920.0,288.0,480.0,,,23.84106969833374,0.4583333333333333,checkpoints\NUS-WIDE_ETF_last.pt,47.0,0.4513888888888889,20.218608379364014,0.4375,checkpoints\NUS-WIDE_ETF_best.pt,459.43287205696106,ETF,OK,,0.6975524475524475
OutdoorScene,4.0,8.0,"[512, 432, 256, 48]",2150.0,323.0,538.0,,,12.331260936410898,0.8643122676579925,checkpoints\OutdoorScene_ETF_last.pt,280.0,0.9040247678018576,10.833211749902889,0.8605947955390335,checkpoints\OutdoorScene_ETF_best.pt,433.83686423301697,ETF,OK,,0.7928413610251878
Prokaryotic,3.0,4.0,"[393, 3, 438]",440.0,66.0,111.0,,,6.383808612823486,0.8198198198198198,checkpoints\Prokaryotic_ETF_last.pt,319.0,0.8333333333333334,6.138058185577393,0.8198198198198198,checkpoints\Prokaryotic_ETF_best.pt,90.18188405036926,ETF,OK,,0.7961538461538462
ProteinFold,12.0,27.0,"[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]",555.0,84.0,139.0,,,53.113494873046875,0.5251798561151079,checkpoints\ProteinFold_ETF_last.pt,67.0,0.5476190476190477,52.87335205078125,0.4748201438848921,checkpoints\ProteinFold_ETF_best.pt,311.6604607105255,ETF,OK,,0.7669157326691574
Reuters-1200,5.0,6.0,"[2000, 2000, 2000, 2000, 2000]",960.0,144.0,240.0,,,35.96044127146403,0.775,checkpoints\Reuters-1200_ETF_last.pt,3.0,0.8194444444444444,10.828740437825521,0.7708333333333334,checkpoints\Reuters-1200_ETF_best.pt,312.12896060943604,ETF,OK,,0.7922142572680206
Reuters-1500,5.0,6.0,"[21531, 24892, 34251, 15506, 11547]",1200.0,180.0,300.0,,,37.43049112955729,0.82,checkpoints\Reuters-1500_ETF_last.pt,2.0,0.8222222222222222,9.045798301696777,0.8133333333333334,checkpoints\Reuters-1500_ETF_best.pt,959.9164524078369,ETF,OK,,0.8217404396266185
UCI,3.0,10.0,"[240, 76, 6]",1600.0,240.0,400.0,,,8.468331336975098,0.9775,checkpoints\UCI_ETF_last.pt,8.0,0.9791666666666666,8.102316856384277,0.9725,checkpoints\UCI_ETF_best.pt,276.1261098384857,ETF,OK,,0.9673202614379085
WebKB,2.0,2.0,"[1840, 3000]",840.0,126.0,211.0,,,1.120403749117919,0.990521327014218,checkpoints\WebKB_ETF_last.pt,16.0,0.9682539682539683,1.2174546933287127,0.976303317535545,checkpoints\WebKB_ETF_best.pt,146.99193024635315,ETF,OK,,0.8588516746411483
Wikipedia,2.0,10.0,"[128, 10]",2292.0,344.0,574.0,,,10.996067309628796,0.6585365853658537,checkpoints\Wikipedia_ETF_last.pt,61.0,0.7063953488372093,8.929131305176206,0.6777003484320557,checkpoints\Wikipedia_ETF_best.pt,344.730806350708,ETF,OK,,0.7699222546161322
Wikipedia-test,2.0,10.0,"[128, 10]",554.0,84.0,139.0,,,17.290679931640625,0.5611510791366906,checkpoints\Wikipedia-test_ETF_last.pt,87.0,0.6666666666666666,9.716014862060547,0.6402877697841727,checkpoints\Wikipedia-test_ETF_best.pt,116.66245985031128,ETF,OK,,0.6784363177805801
